"Source","Treatment","Block","NumAssign_InBlock","Row","PosInRow","Tag","ID","DateMortalityObservedPreTransplant","Length_cm_20220527","OrigPltSurvival_20220527","Replaced_YorN_20220531","Replacement","Length_cm_20220622","Survival_20220622","Notes.x","Phenology_20220715","Survival_20220715","Notes_20220715","Phenology_20220721","Survival_20220721","Notes_20220721","Phenology_20220726","Length_cm_20220726","Survival_20220726","Notes_20220726","Phenology_20220804","Survival_20220804","Notes_20220804","Phenology_20220817","Survival_20220817","Notes_20220817","Phenology_20220830","Survival_20220830","Phenology_20220909","Survival_20220909","Notes_20220909","Phenology_20220922","Survival_20220922","Notes_20220922","Harvest_20221014","Harvest_20221110","AGB_Coll_20221014","AGB_Coll_20221110","BagSize","AGB_MinusBag","InfBM_Wbag","InfBM_Wobag_g","TissueCollected","Notes.1","SentForSequencing_20230803","ExcludeBcNotReplaced","SOURCE_CODE","HexCode_Indv","Long","Lat","SdZone","Notes.y","Tmin_Class","AHM_class","seed_zone","New_label","PopAbbrev","SdZnCol","SdZnAbbrev","PopCol","PopOrder"
"ARFR-CO932-294-11","black",1,1,1,1,141,1,NA,6.1,1,NA,NA,9.3,1,NA,2,1,NA,2,1,NA,2,13.8,1,NA,2,1,NA,2,1,NA,2,1,2,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,"N",NA,"ARFR4-SOS-CO932-294-11","#ABDDA4",-105.2030833,39.78458333,"15 - 20 Deg. F. / 3 - 6","","15 - 20 Deg. F.","6-Mar","15 - 20 Deg. F. / 3 - 6","15 - 20 / semi-humid","CO.4","#698b69","semi-humid, warm","#ABDDA4","H"
"ARFR-WY050-49-FREMONT-12","black",1,2,1,2,NA,2,NA,6.3,1,NA,NA,10.2,1,NA,2,1,NA,2,1,NA,2,13,1,NA,2,1,NA,2,1,NA,2,1,2,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,"N",NA,"ARFR4-SOS-WY050-49-FREMONT-12","#5E4FA2",-109.34775,43.42663611,"5 - 10 Deg. F. / 6 - 12","","5 - 10 Deg. F.","12-Jun","5 - 10 Deg. F. / 6 - 12","5 - 10 / semi-arid","WY.3","#ffb90f","semi-arid, cold","#5E4FA2","K"
"ARFR-WY930-44-LASANIMAS-13","black",1,3,1,3,NA,3,NA,5.3,1,NA,NA,11.9,1,NA,2,1,NA,2,1,NA,2,13.1,1,NA,2,1,NA,2,1,NA,2,1,3,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,"N",NA,"ARFR4-SOS-WY930-44-LASANIMAS-13","#FDAE61",-104.6423889,37.16547222,"15 - 20 Deg. F. / 3 - 6","","15 - 20 Deg. F.","6-Mar","15 - 20 Deg. F. / 3 - 6","15 - 20 / semi-humid","CO.1","#698b69","semi-humid, warm","#FDAE61","D"
"ARFR-CO932-314-JEFFERSON-12","black",1,4,1,4,NA,4,NA,5,1,NA,NA,9.8,1,NA,2,1,NA,2,1,NA,2,34.9,1,NA,2,1,NA,3,1,NA,3,1,3,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,"N",NA,"ARFR4-SOS-CO932-314-JEFFERSON-12","#FEE08B",-105.3553333,39.40902778,"10 - 15 Deg. F. / 3 - 6","","10 - 15 Deg. F.","6-Mar","10 - 15 Deg. F. / 3 - 6","10 - 15 / semi-humid","CO.2","#66e566","semi-humid, cool","#FEE08B","E"
"ARFR-CO932-316-JEFFERSON-12","black",1,5,1,5,142,5,NA,5.6,1,NA,NA,12.7,1,NA,2,1,NA,2,1,NA,2,50.5,1,NA,2,1,NA,3,1,NA,3,1,3,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,"N",NA,"ARFR4-SOS-CO932-316-JEFFERSON-12","#FFFF85",-105.358,39.66325,"15 - 20 Deg. F. / 3 - 6","","15 - 20 Deg. F.","6-Mar","15 - 20 Deg. F. / 3 - 6","15 - 20 / semi-humid","CO.3","#698b69","semi-humid, warm","#FFFF85","F"
"ARFR-CO932-314-JEFFERSON-12","black",1,6,1,6,NA,6,NA,5.4,1,NA,NA,8.9,1,NA,2,1,NA,2,1,NA,2,30.6,1,NA,2,1,NA,3,1,NA,3,1,3,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,"N",NA,"ARFR4-SOS-CO932-314-JEFFERSON-12","#FEE08B",-105.3553333,39.40902778,"10 - 15 Deg. F. / 3 - 6","","10 - 15 Deg. F.","6-Mar","10 - 15 Deg. F. / 3 - 6","10 - 15 / semi-humid","CO.2","#66e566","semi-humid, cool","#FEE08B","E"
"ARFR-CO932-316-JEFFERSON-12","black",1,7,1,7,NA,7,NA,5.9,1,NA,NA,10.8,1,NA,2,1,NA,2,1,NA,2,40.9,1,NA,2,1,NA,3,1,NA,3,1,3,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,"N",NA,"ARFR4-SOS-CO932-316-JEFFERSON-12","#FFFF85",-105.358,39.66325,"15 - 20 Deg. F. / 3 - 6","","15 - 20 Deg. F.","6-Mar","15 - 20 Deg. F. / 3 - 6","15 - 20 / semi-humid","CO.3","#698b69","semi-humid, warm","#FFFF85","F"
"ARFR-CO932-314-JEFFERSON-12","black",1,8,1,8,NA,8,NA,4.5,1,NA,NA,9.6,1,NA,2,1,NA,2,1,NA,2,20.7,1,NA,2,1,NA,3,1,NA,3,1,3,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,"N",NA,"ARFR4-SOS-CO932-314-JEFFERSON-12","#FEE08B",-105.3553333,39.40902778,"10 - 15 Deg. F. / 3 - 6","","10 - 15 Deg. F.","6-Mar","10 - 15 Deg. F. / 3 - 6","10 - 15 / semi-humid","CO.2","#66e566","semi-humid, cool","#FEE08B","E"
"ARFR-WY050-151-FREMONT-16","black",1,9,1,9,NA,9,NA,5.7,1,NA,NA,10.5,1,NA,2,1,NA,2,1,NA,2,19.8,1,NA,2,1,NA,2,1,NA,3,1,3,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,"N",NA,"ARFR4-SOS-WY050-151-FREMONT-16","#3288BD",-108.1704472,42.47886111,"10 - 15 Deg. F. / 6 - 12","","10 - 15 Deg. F.","12-Jun","10 - 15 Deg. F. / 6 - 12","10 - 15 / semi-arid","WY.2","#cd8500","semi-arid, cool","#3288BD","J"
"ARFR-WY050-151-FREMONT-16","black",1,10,1,10,143,10,NA,4.5,1,NA,NA,6.6,1,NA,2,1,NA,2,1,NA,2,11.1,1,NA,2,1,NA,2,1,NA,2,1,2,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,"N",NA,"ARFR4-SOS-WY050-151-FREMONT-16","#3288BD",-108.1704472,42.47886111,"10 - 15 Deg. F. / 6 - 12","","10 - 15 Deg. F.","12-Jun","10 - 15 Deg. F. / 6 - 12","10 - 15 / semi-arid","WY.2","#cd8500","semi-arid, cool","#3288BD","J"
