Source,Treatment,Block,Row,PosInRow,Tag,ID,Surv_2022,Survival_20230615,Flowering_20230615,Notes_20230615,Survival_20230620,Flowering_20230620,Notes_20230620,Survival_20230629,Flowering_20230629,Notes_20230629,Survival_20230705,Flowering_20230705,Notes_20230705,Survival_20230728,Flowering_20230728,SentForSequencing_20230803,Survival_20230801,Flowering_20230801,Notes_20230801,Survival_20230927,Flowering_20230927,Height_20230927,Notes_20230927,ExcludePhenoDueToInconsistData,ExcludeSurvDueToInconsistData,ExcludeSzDueToUncertainty,Notes.x,SOURCE_CODE,HexCode_Indv,Long,Lat,SdZone,Notes.y,Tmin_Class,AHM_class,seed_zone,New_label,PopAbbrev,SdZnCol,SdZnAbbrev,PopCol,PopOrder,ARFR22$ExcludeBcNotReplaced,ARFR24$ExcludeBcHarvest
ARFR-CO932-294-11,black,1,1,1,141,1,1,1,0,NA,1,0,NA,1,0,NA,1,1,NA,1,1,N,1,0,NA,1,1,60.9,NA,Y,NA,NA,NA,ARFR4-SOS-CO932-294-11,#ABDDA4,-105.2030833,39.78458333,15 - 20 Deg. F. / 3 - 6,,15 - 20 Deg. F.,6-Mar,15 - 20 Deg. F. / 3 - 6,15 - 20 / semi-humid,CO.4,#698b69,"semi-humid, warm",#ABDDA4,H,NA,NA
ARFR-WY050-49-FREMONT-12,black,1,1,2,NA,2,1,1,0,NA,1,0,NA,1,0,NA,1,1,NA,1,1,N,1,1,NA,1,1,46.8,NA,NA,NA,NA,NA,ARFR4-SOS-WY050-49-FREMONT-12,#5E4FA2,-109.34775,43.42663611,5 - 10 Deg. F. / 6 - 12,,5 - 10 Deg. F.,12-Jun,5 - 10 Deg. F. / 6 - 12,5 - 10 / semi-arid,WY.3,#ffb90f,"semi-arid, cold",#5E4FA2,K,NA,NA
ARFR-WY930-44-LASANIMAS-13,black,1,1,3,NA,3,1,1,0,NA,1,0,NA,1,0,NA,1,1,NA,1,1,N,1,1,NA,1,1,40.5,NA,NA,NA,NA,NA,ARFR4-SOS-WY930-44-LASANIMAS-13,#FDAE61,-104.6423889,37.16547222,15 - 20 Deg. F. / 3 - 6,,15 - 20 Deg. F.,6-Mar,15 - 20 Deg. F. / 3 - 6,15 - 20 / semi-humid,CO.1,#698b69,"semi-humid, warm",#FDAE61,D,NA,NA
ARFR-CO932-314-JEFFERSON-12,black,1,1,4,NA,4,1,1,0,NA,1,0,NA,1,1,NA,1,1,NA,1,1,N,1,1,NA,1,1,58.8,NA,NA,NA,NA,NA,ARFR4-SOS-CO932-314-JEFFERSON-12,#FEE08B,-105.3553333,39.40902778,10 - 15 Deg. F. / 3 - 6,,10 - 15 Deg. F.,6-Mar,10 - 15 Deg. F. / 3 - 6,10 - 15 / semi-humid,CO.2,#66e566,"semi-humid, cool",#FEE08B,E,NA,NA
ARFR-CO932-316-JEFFERSON-12,black,1,1,5,142,5,1,1,0,NA,1,0,NA,1,1,NA,1,1,NA,1,1,N,1,1,dying,1,1,53,NA,NA,NA,NA,NA,ARFR4-SOS-CO932-316-JEFFERSON-12,#FFFF85,-105.358,39.66325,15 - 20 Deg. F. / 3 - 6,,15 - 20 Deg. F.,6-Mar,15 - 20 Deg. F. / 3 - 6,15 - 20 / semi-humid,CO.3,#698b69,"semi-humid, warm",#FFFF85,F,NA,NA
ARFR-CO932-314-JEFFERSON-12,black,1,1,6,NA,6,1,1,0,NA,1,0,NA,1,1,NA,1,1,NA,1,1,N,1,1,NA,1,1,52.4,NA,NA,NA,NA,NA,ARFR4-SOS-CO932-314-JEFFERSON-12,#FEE08B,-105.3553333,39.40902778,10 - 15 Deg. F. / 3 - 6,,10 - 15 Deg. F.,6-Mar,10 - 15 Deg. F. / 3 - 6,10 - 15 / semi-humid,CO.2,#66e566,"semi-humid, cool",#FEE08B,E,NA,NA
ARFR-CO932-316-JEFFERSON-12,black,1,1,7,NA,7,1,1,0,NA,1,0,NA,1,1,NA,1,1,NA,1,1,N,1,1,NA,1,1,58.2,NA,NA,NA,NA,NA,ARFR4-SOS-CO932-316-JEFFERSON-12,#FFFF85,-105.358,39.66325,15 - 20 Deg. F. / 3 - 6,,15 - 20 Deg. F.,6-Mar,15 - 20 Deg. F. / 3 - 6,15 - 20 / semi-humid,CO.3,#698b69,"semi-humid, warm",#FFFF85,F,NA,NA
ARFR-CO932-314-JEFFERSON-12,black,1,1,8,NA,8,1,1,0,NA,1,0,NA,1,0,NA,1,1,NA,1,1,N,1,1,NA,1,1,57.4,NA,NA,NA,NA,NA,ARFR4-SOS-CO932-314-JEFFERSON-12,#FEE08B,-105.3553333,39.40902778,10 - 15 Deg. F. / 3 - 6,,10 - 15 Deg. F.,6-Mar,10 - 15 Deg. F. / 3 - 6,10 - 15 / semi-humid,CO.2,#66e566,"semi-humid, cool",#FEE08B,E,NA,NA
ARFR-WY050-151-FREMONT-16,black,1,1,9,NA,9,1,1,0,NA,1,0,NA,1,0,NA,1,1,NA,1,1,N,1,1,NA,1,1,NA,indistinguishable from neighbor plants,NA,NA,NA,NA,ARFR4-SOS-WY050-151-FREMONT-16,#3288BD,-108.1704472,42.47886111,10 - 15 Deg. F. / 6 - 12,,10 - 15 Deg. F.,12-Jun,10 - 15 Deg. F. / 6 - 12,10 - 15 / semi-arid,WY.2,#cd8500,"semi-arid, cool",#3288BD,J,NA,NA
ARFR-WY050-151-FREMONT-16,black,1,1,10,143,10,1,1,0,NA,1,0,NA,1,0,NA,1,1,NA,1,1,N,1,1,NA,1,1,NA,indistinguishable from neighbor plants,NA,NA,NA,NA,ARFR4-SOS-WY050-151-FREMONT-16,#3288BD,-108.1704472,42.47886111,10 - 15 Deg. F. / 6 - 12,,10 - 15 Deg. F.,12-Jun,10 - 15 Deg. F. / 6 - 12,10 - 15 / semi-arid,WY.2,#cd8500,"semi-arid, cool",#3288BD,J,NA,NA
